# expected behaviour of the shipped web/public/cas.js
# regenerate the bundle with cas/build.sh; this table is checked by cas/check.mjs

simplify | x + x | 2*x
simplify | (x+1)(x+1) - x^2 | 2*x + 1
simplify | x/x | 1
simplify | 2*3*x | 6*x
simplify | (x-1)(x+1) | x^2 - 1
simplify | sqrt(x)*sqrt(x) | x
simplify | x +  | !expected a value
derivative | sin(x^2) | 2*x*cos(x^2)
derivative | x^3 + 2x | 3*x^2 + 2
derivative | exp(x)*ln(x) | exp(x)*ln(x) + exp(x)/x
derivative | tan(x) | tan(x)^2 + 1
integral | x^3 | x^4/4
integral | 1/x | ln(abs(x))
integral | sin(x) | -cos(x)
integral | cos(3x) | sin(3*x)/3
integral | x*exp(x) | x*exp(x) - exp(x)
integral | x^2*sin(x) | -x^2*cos(x) + 2*x*sin(x) + 2*cos(x)
integral | ln(x) | x*ln(x) - x
integral | x*ln(x) | x^2*ln(x)/2 - x^2/4
integral | 1/(1+x^2) | atan(x)
integral | 1/sqrt(1-x^2) | asin(x)
integral | x/(1+x^2) | ln(abs(x^2 + 1))/2
integral | 2x*exp(x^2) | exp(x^2)
integral | sin(x)cos(x) | -cos(x)^2/2
integral | tan(x) | -ln(abs(cos(x)))
integral | (2x+1)^5 | (2*x + 1)^6/12
integral | x*sin(x^2) | -cos(x^2)/2
integral | atan(x) | x*atan(x) - ln(x^2 + 1)/2
integral | exp(x)cos(x) | cos(x)*exp(x)/2 + exp(x)*sin(x)/2
integral | sqrt(x) | 2*x^1.5/3
integral | exp(-x^2) | !no closed form found
integral | sin(x)/x | !no closed form found
solve | x^2 - 4 = 0 | x = -2, x = 2
solve | 2x + 6 = 0 | x = -3
solve | x^2 + 1 = 0 | no real solution
solve | x^3 - x = 0 | x = -1, x = 0, x = 1
solve | exp(x) = 1 | x = 0
solve | ln(x) = 0 | x = 1
solve | 1/x = 2 | x = 0.5
solve | x^2 = 2x | x = 0, x = 2
solve | x^2 - 5x + 6 = 0 | x = 2, x = 3
solve | cos(x) = 1 | x = 0
taylor | exp(x) @ 0 @ 4 | x^4/24 + x^3/6 + x^2/2 + x + 1
taylor | sin(x) @ 0 @ 5 | x^5/120 - x^3/6 + x
taylor | cos(x) @ 0 @ 6 | -x^6/720 + x^4/24 - x^2/2 + 1
taylor | ln(x) @ 1 @ 4 | -(x - 1)^4/4 + (x - 1)^3/3 - (x - 1)^2/2 + x - 1
taylor | 1/(1-x) @ 0 @ 5 | x^5 + x^4 + x^3 + x^2 + x + 1
